,Name,Window_size,para
0,Agric,120.0,0.0009000000000000001
1,Food,120.0,0.0009000000000000001
2,Soda,120.0,0.0009000000000000001
3,Beer,120.0,0.0009000000000000001
4,Smoke,120.0,0.0009000000000000001
5,Toys,120.0,0.0009000000000000001
6,Fun,120.0,0.0009000000000000001
7,Books,120.0,0.0009000000000000001
8,Hshld,120.0,0.0009000000000000001
9,Clths,120.0,0.0009000000000000001
10,Hlth,120.0,0.0009000000000000001
11,MedEq,120.0,0.0009000000000000001
12,Drugs,120.0,0.0009000000000000001
13,Chems,120.0,0.0009000000000000001
14,Rubbr,120.0,0.0009000000000000001
15,Txtls,120.0,0.0009000000000000001
16,BldMt,120.0,0.0009000000000000001
17,Cnstr,120.0,0.0009000000000000001
18,Steel,120.0,0.0009000000000000001
19,FabPr,120.0,0.0009000000000000001
20,Mach,120.0,0.0009000000000000001
21,ElcEq,120.0,0.0009000000000000001
22,Autos,120.0,0.0009000000000000001
23,Aero,120.0,0.0009000000000000001
24,Ships,120.0,0.0009000000000000001
25,Guns,120.0,0.0009000000000000001
26,Gold,120.0,0.0009000000000000001
27,Mines,120.0,0.0009000000000000001
28,Coal,120.0,0.0009000000000000001
29,Oil,120.0,0.0009000000000000001
30,Util,120.0,0.0009000000000000001
31,Telcm,120.0,0.0009000000000000001
32,PerSv,120.0,0.0009000000000000001
33,BusSv,120.0,0.0009000000000000001
34,Comps,120.0,0.0009000000000000001
35,Chips,120.0,0.0009000000000000001
36,LabEq,120.0,0.0009000000000000001
37,Paper,120.0,0.0009000000000000001
38,Boxes,120.0,0.0009000000000000001
39,Trans,120.0,0.0009000000000000001
40,Whlsl,120.0,0.0009000000000000001
41,Rtail,120.0,0.0009000000000000001
42,Meals,120.0,0.0009000000000000001
43,Banks,120.0,0.0009000000000000001
44,Insur,120.0,0.0009000000000000001
45,RlEst,120.0,0.0009000000000000001
46,Fin,120.0,0.0009000000000000001
47,Other,120.0,0.0009000000000000001
