,Mdl,Ind,Window Size,RMSE
107,knn_rf_lag5,Soda,360,1.152950971046105
108,svm_lasso_lag5,Mach,360,0.8591210508954502
109,svm_lasso_lag5,Whlsl,360,0.7294472735967789
110,svm_lasso_lag5,BusSv,360,0.6915820390208507
111,svm_lasso_lag5,Gold,360,2.7195280714134427
112,svm_lasso_lag5,Smoke,360,1.0773561588321896
113,svm_lasso_lag5,Soda,360,1.184097266390589
114,svm_rf_lag5,Mach,360,1.307922355812309
115,svm_rf_lag5,Whlsl,360,1.088896100586608
116,svm_rf_lag5,BusSv,360,1.0678845610933376
117,svm_rf_lag5,Gold,360,2.7190409050125446
118,svm_rf_lag5,Smoke,360,1.1469304923360875
119,svm_rf_lag5,Soda,360,1.268075695443947
120,knn_lasso_lag10,Mach,360,0.6203798504280152
121,knn_lasso_lag10,Whlsl,360,0.5212998283269926
122,knn_lasso_lag10,BusSv,360,0.4912246782852094
123,knn_lasso_lag10,Gold,180,2.5184904455679145
124,knn_lasso_lag10,Smoke,360,1.0388703898380245
125,knn_lasso_lag10,Soda,360,1.150222865561641
126,knn_rf_lag10,Mach,360,0.645029938087817
127,knn_rf_lag10,Whlsl,360,0.5932942852816389
128,knn_rf_lag10,BusSv,360,0.5077795314641307
129,knn_rf_lag10,Gold,180,2.565633824915461
130,knn_rf_lag10,Smoke,360,1.009893269498113
131,knn_rf_lag10,Soda,360,1.1516841777043905
132,svm_lasso_lag10,Mach,360,0.8641342725125898
133,svm_lasso_lag10,Whlsl,360,0.731429249699426
134,svm_lasso_lag10,BusSv,360,0.6935316387906445
135,svm_lasso_lag10,Gold,360,2.7220027113968643
136,svm_lasso_lag10,Smoke,360,1.0729481456662748
137,svm_lasso_lag10,Soda,360,1.1844676073536882
138,svm_rf_lag10,Mach,360,0.7450269813700854
139,svm_rf_lag10,Whlsl,360,0.6701934349652483
140,svm_rf_lag10,BusSv,360,0.5959676564545868
141,svm_rf_lag10,Gold,360,2.6351830910977703
142,svm_rf_lag10,Smoke,360,1.022228672747331
143,svm_rf_lag10,Soda,360,1.1576933375359337
